Done vet in 0s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	     100	         6.970 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         5.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         5.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         5.890 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.820 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.880 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.110 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.110 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.870 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.280 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         2.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        57.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        54.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        52.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        49.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        49.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        52.56 ns/op	       0 B/op	       0 allocs/op
