Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	    1000	         5.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.545 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.438 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.419 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.488 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.665 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.667 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.711 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.668 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.909 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.921 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.914 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.923 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.893 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.895 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        65.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        66.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        58.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        59.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        57.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        51.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        50.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        49.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        49.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        50.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        49.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        49.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        50.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        48.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	    1000	        49.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        49.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        48.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        48.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        51.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        49.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        48.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        48.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	    1000	        48.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        48.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        47.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        50.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        48.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        49.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        48.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        48.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	    1000	        48.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        50.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        48.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        48.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        48.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        48.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        48.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        50.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	    1000	        47.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        49.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        49.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	    1000	        48.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        47.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        49.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        48.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        48.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        48.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        48.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        49.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	    1000	        49.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        46.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        43.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        42.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        43.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        43.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        43.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        43.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	    1000	        42.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        41.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        43.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        43.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        42.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        43.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        42.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        45.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	    1000	        42.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        45.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        42.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        43.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        42.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        42.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        41.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        42.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-24-8         	    1000	        43.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-26-8         	    1000	        44.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-26-8         	    1000	        42.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-26-8         	    1000	        43.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-26-8         	    1000	        43.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-26-8         	    1000	        42.11 ns/op	       0 B/op	       0 allocs/op
