Done vet in 0s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	   10000	         4.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.290 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.300 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.280 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.523 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.731 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.762 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.800 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.524 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.524 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.605 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.798 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.860 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.789 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.993 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       113.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       114.2 ns/op	       0 B/op	       0 allocs/op
