Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	     100	         6.910 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         5.890 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         5.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.590 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	     100	         6.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.160 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.100 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.460 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         4.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         3.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	     100	         2.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.300 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.790 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         3.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.870 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	     100	         2.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.620 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.220 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	     100	         3.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        54.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        54.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        50.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        55.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        52.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        55.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        50.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	     100	        55.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        58.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        55.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        52.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        55.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        54.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        50.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        55.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	     100	        51.65 ns/op	       0 B/op	       0 allocs/op
