Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	    1000	         4.559 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.487 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.509 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	    1000	         4.428 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.627 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.586 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	    1000	         1.656 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.713 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.683 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.703 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.631 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	    1000	         1.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.908 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	    1000	         1.944 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        69.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        69.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        69.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	    1000	        68.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        64.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        88.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        63.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        71.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        64.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        63.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        61.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	    1000	        63.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        69.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        67.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-6-8 	    1000	        66.78 ns/op	       0 B/op	       0 allocs/op
