Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	   10000	         4.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.341 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	   10000	         4.365 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.521 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.521 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	   10000	         1.662 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.648 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.522 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.513 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.520 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	   10000	         1.515 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.779 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.939 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	   10000	         1.788 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       115.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       114.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       113.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       111.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       113.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-2-8 	   10000	       114.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	   10000	        95.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	   10000	        94.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	   10000	        94.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-4-8 	   10000	        94.97 ns/op	       0 B/op	       0 allocs/op
