Done vet in 1s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	 1000000	         4.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.396 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.365 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.507 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.508 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.512 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.509 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.774 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.775 ns/op	       0 B/op	       0 allocs/op
