goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	383089843	         3.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	385336882	         3.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	389770263	         2.945 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	381992246	         3.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	421051152	         3.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	403008302	         3.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	405415525	         2.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	403341463	         2.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 2010583	      1035 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1455549	       957.4 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1479374	      1004 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1412520	       902.3 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1432494	       952.3 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1391610	       921.7 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1401723	       937.9 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1406632	       891.2 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1631322	       841.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1581223	       849.8 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1641459	       839.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1697989	       826.1 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1635082	       821.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1647568	       820.4 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1666238	       824.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1730251	       829.4 ns/op	      43 B/op	       0 allocs/op
