goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Generator/Random-8                 4.379n ±  0%
Generator/Ascending-8              1.503n ±  1%
Generator/Descending-8             1.506n ±  0%
Generator/Sawtooth-8               1.774n ±  0%
Get/Btree/Random/Order-2-8         527.1n ±  1%
Get/Btree/Random/Order-4-8         394.1n ±  1%
Get/Btree/Random/Order-6-8         354.0n ±  2%
Get/Btree/Random/Order-8-8         318.5n ±  1%
Get/Btree/Random/Order-10-8        311.4n ±  3%
Get/Btree/Random/Order-12-8        297.9n ±  1%
Get/Btree/Random/Order-14-8        291.4n ±  1%
Get/Btree/Random/Order-16-8        287.6n ±  1%
Get/Btree/Random/Order-18-8        289.3n ±  1%
Get/Btree/Random/Order-20-8        286.0n ±  1%
Get/Btree/Random/Order-22-8        285.7n ±  1%
Get/Btree/Random/Order-24-8        289.5n ±  2%
Get/Btree/Random/Order-26-8        282.9n ±  1%
Get/Btree/Random/Order-28-8        281.8n ±  1%
Get/Btree/Random/Order-30-8        281.3n ±  1%
Get/Btree/Random/Order-32-8        283.7n ±  1%
Get/Btree/Random/Order-34-8        283.6n ±  2%
Get/Btree/Random/Order-36-8        280.5n ±  1%
Get/Btree/Random/Order-38-8        280.8n ±  0%
Get/Btree/Random/Order-40-8        279.2n ±  1%
Get/Btree/Random/Order-42-8        277.0n ±  1%
Get/Btree/Random/Order-44-8        275.5n ±  1%
Get/Btree/Random/Order-46-8        276.6n ±  2%
Get/Btree/Random/Order-48-8        275.5n ±  1%
Get/Btree/Random/Order-50-8        273.5n ±  1%
Get/Btree/Random/Order-52-8        276.2n ±  1%
Get/Btree/Random/Order-54-8        274.3n ±  1%
Get/Btree/Random/Order-56-8        274.5n ±  1%
Get/Btree/Random/Order-58-8        273.9n ±  1%
Get/Btree/Random/Order-60-8        274.9n ±  1%
Get/Btree/Random/Order-62-8        273.6n ±  1%
Get/Btree/Random/Order-64-8        271.8n ±  1%
Get/Btree/Random/Order-66-8        270.9n ±  1%
Get/Btree/Random/Order-68-8        270.1n ±  1%
Get/Btree/Random/Order-70-8        269.8n ±  1%
Get/Btree/Random/Order-72-8        277.0n ±  0%
Get/Btree/Random/Order-74-8        275.5n ±  1%
Get/Btree/Random/Order-76-8        274.6n ±  0%
Get/Btree/Random/Order-78-8        275.2n ±  1%
Get/Btree/Random/Order-80-8        273.7n ±  1%
Get/Btree/Random/Order-82-8        272.9n ±  1%
Get/Btree/Random/Order-84-8        271.9n ±  0%
Get/Btree/Random/Order-86-8        268.1n ±  1%
Get/Btree/Random/Order-88-8        267.8n ±  3%
Get/Btree/Random/Order-90-8        267.7n ±  1%
Get/Btree/Random/Order-92-8        267.3n ±  0%
Get/Btree/Random/Order-94-8        266.9n ±  1%
Get/Btree/Random/Order-96-8        266.6n ±  0%
Get/Btree/Random/Order-98-8        266.6n ±  0%
Get/Btree/Random/Order-100-8       266.6n ±  1%
Get/Btree/Random/Order-102-8       267.1n ±  0%
Get/Btree/Random/Order-104-8       266.9n ±  1%
Get/Btree/Random/Order-106-8       266.9n ±  1%
Get/Btree/Random/Order-108-8       264.8n ±  0%
Get/Btree/Random/Order-110-8       267.2n ±  1%
