goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	375820308	         2.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	389687449	         3.470 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	372366164	         3.350 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	359944386	         3.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	367632694	         3.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	403175373	         2.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	343278687	         3.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	402679884	         3.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1456220	       938.3 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1542987	       924.5 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1573750	       908.3 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1510261	       879.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 2099210	       992.2 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1482376	       903.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1342940	       899.7 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1436425	       891.6 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1849693	       627.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1788172	       803.3 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1886587	       802.7 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1774258	       785.9 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1718031	       834.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1837842	       817.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1770121	       828.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1860338	       803.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2168860	       696.0 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2106519	       704.4 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2091013	       695.0 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2060100	       664.2 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2040177	       698.3 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2101399	       701.0 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2120859	       699.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2121584	       686.3 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2354719	       655.2 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2355067	       657.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2340668	       670.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2292417	       657.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2354572	       680.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2155662	       632.0 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2295735	       482.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2250901	       653.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2523531	       624.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2487570	       671.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2189528	       623.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2612221	       641.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2448466	       628.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2489816	       617.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2535625	       618.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 3092101	       668.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2593848	       601.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2535278	       597.2 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2606792	       617.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2509104	       594.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2615794	       595.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2589615	       612.2 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2592294	       597.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2731161	       625.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2785423	       565.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2785611	       565.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2709766	       576.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2751616	       552.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2712547	       584.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2787117	       575.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2804842	       581.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2883856	       573.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2704189	       568.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2785347	       582.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2575376	       552.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2802253	       557.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2618104	       563.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2623915	       568.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2890231	       570.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2787138	       560.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2873181	       562.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2849688	       556.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2861952	       561.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2913916	       548.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2921056	       557.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2948242	       517.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2968293	       570.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2870284	       545.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2858814	       565.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 3008458	       562.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2833486	       534.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2965876	       542.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2972385	       552.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2853062	       553.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2941814	       548.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2886666	       550.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2955510	       579.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2631560	       515.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2896836	       565.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2887881	       545.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2911452	       546.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2962303	       562.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2871819	       553.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2610386	       548.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 3170593	       543.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2891214	       534.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 3057092	       549.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2844009	       532.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2987064	       533.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2967952	       552.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 3120105	       554.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2993798	       547.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 3273384	       534.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 3627034	       559.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 3051022	       541.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2043608	       491.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2940072	       517.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2993990	       523.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2913424	       535.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 3008754	       527.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3117529	       545.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3046114	       535.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2979880	       537.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3007336	       540.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2977850	       524.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3050037	       538.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2860123	       536.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2970604	       535.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 3024015	       572.0 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2833704	       533.5 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2960994	       516.1 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2921619	       530.2 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 3047065	       538.8 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 3016515	       532.6 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 3011646	       556.0 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2991146	       534.3 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 9109081	       148.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 9563211	       134.5 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8242557	       136.0 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8556440	       140.1 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7981557	       136.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8335641	       139.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8455098	       140.8 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7791061	       135.5 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10150455	       106.8 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	12216866	       100.7 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	13963693	        99.95 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	14793968	        96.39 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10932098	       102.0 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 9574789	       110.6 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	11319757	       102.4 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10280398	       102.1 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12451123	        94.21 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	10555308	        95.72 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11412925	        89.56 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11921830	        90.20 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11099571	        94.58 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12494108	        89.94 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	13408717	        87.51 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12468577	        89.83 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14357600	        84.21 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	23828838	        84.73 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	13577874	        80.05 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14721903	        80.26 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14225798	        81.51 ns/op	      54 B/op	       0 allocs/op
