goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	396800677	         3.150 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	425901577	         3.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	413462634	         3.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	466951819	         2.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	386560220	         3.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	390127980	         2.985 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	1000000000	         3.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	375892542	         3.048 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1430434	       952.2 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1517598	       903.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1563763	       942.2 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1484342	       961.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1460799	       922.0 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1457924	       896.3 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1477564	       884.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1524579	       882.7 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1866062	       790.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1824542	       782.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1775416	       795.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1864149	       790.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1778172	       840.3 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1820325	       804.9 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1928780	       802.8 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1793242	       800.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2175434	       707.5 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2150164	       711.5 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2038806	       699.5 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2022010	       698.5 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 1960122	       692.0 ns/op	      41 B/op	       0 allocs/op
