goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	371880750	         3.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	358585677	         3.096 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	429638664	         3.244 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	403933891	         2.979 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	348940204	         3.149 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	408592945	         3.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	381626308	         2.997 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	381495230	         3.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1340174	       853.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1574187	       933.5 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1451670	       883.9 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1470972	       913.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1535684	       873.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1445636	       911.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1550425	       914.4 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1526887	       910.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1833198	       798.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 2421243	       852.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 2410471	       845.8 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1823226	       808.3 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1881424	       804.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1826034	       772.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1812189	       783.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1815994	       779.7 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2150952	       558.9 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2078326	       584.2 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2105192	       715.2 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2057924	       709.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2050377	       691.6 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2137574	       707.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 1995502	       693.1 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2159528	       714.3 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2295997	       680.0 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2932821	       698.2 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2406423	       686.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2268973	       710.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2246707	       643.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2267752	       663.2 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2328332	       664.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-4 	 2219878	       685.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2377743	       671.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2424174	       638.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2367266	       642.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2511235	       628.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2263140	       715.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2006283	       713.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 1947793	       732.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-4 	 2078262	       666.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2553682	       604.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2604724	       601.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2588152	       626.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2582550	       581.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2134770	       684.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2337396	       592.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2591292	       645.9 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-4 	 2549971	       689.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2114055	       787.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 1665144	       666.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2438974	       576.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2589013	       605.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2750706	       598.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2746696	       611.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2628788	       586.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2640524	       588.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2774481	       574.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2775502	       548.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 3131846	       574.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2801689	       578.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2688159	       572.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2690510	       567.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2667351	       477.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2689893	       574.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2792676	       567.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2899822	       562.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2734629	       573.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2862350	       576.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2895112	       669.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2558580	       594.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2367387	       571.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2959960	       581.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2861220	       560.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2823506	       550.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2800027	       567.9 ns/op	      40 B/op	       0 allocs/op
