Done vet in 1s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	 1000000	         4.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.515 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.513 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.510 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.507 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.518 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.768 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.773 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.774 ns/op	       0 B/op	       0 allocs/op
