goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	366138998	         3.078 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	394572882	         3.125 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	355731717	         3.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	399278241	         3.367 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	395517578	         2.998 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	668714929	         3.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	354448072	         3.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	384681318	         2.904 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1448228	       910.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1458265	       906.9 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1501660	       912.5 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1452486	       911.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1461746	       927.4 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1480569	       953.5 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1381844	       902.6 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1420326	       980.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1748724	       796.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1666712	       816.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1770859	       818.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1641169	       801.8 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1721872	       796.9 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1711377	       803.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1752598	       819.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 2072984	       865.5 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2061157	       752.5 ns/op	      41 B/op	       0 allocs/op
