goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	395550700	         3.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	404947270	         3.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	351175236	         3.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	392857033	         2.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	378439770	         3.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	392283741	         3.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	405202652	         2.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	397989127	         3.115 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1433491	      1003 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1416187	       969.4 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1452741	       937.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1455880	       943.9 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1426458	       909.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1485750	       907.1 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1426700	       923.8 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 2130781	      1027 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1778444	       793.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1715859	       782.1 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1845808	       845.0 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1816380	       825.6 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1769772	       778.3 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1812648	       796.1 ns/op	      43 B/op	       0 allocs/op
