goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-4    	364307278	         3.280 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	355606638	         3.134 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	392704357	         3.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	376478277	         3.203 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	372243030	         3.216 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	368029488	         3.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	372853783	         3.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkRandInt-4    	373714912	         3.161 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1292786	       984.9 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1317063	       969.5 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1371216	       962.9 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1366236	       955.7 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1411005	       989.3 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1361899	       973.1 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1369927	       993.7 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-4 	 1275106	       934.4 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1756200	       811.3 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1610673	       817.0 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1626952	       840.3 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1693262	       839.4 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1743033	       842.6 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1717152	       825.7 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1625328	       829.1 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-4 	 1686282	       796.3 ns/op	      48 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 1950973	       723.1 ns/op	      45 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2031028	       727.3 ns/op	      45 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 1853758	       736.9 ns/op	      45 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 2018252	       739.5 ns/op	      45 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-4 	 1894410	       737.1 ns/op	      45 B/op	       0 allocs/op
