Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-8         	 1000000	         4.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.297 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.292 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.294 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-8         	 1000000	         4.288 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.513 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-8      	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-8     	 1000000	         1.507 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.771 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-8       	 1000000	         1.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       452.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       453.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       447.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       455.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       456.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       453.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       450.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-8        	 1000000	       449.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-8     	 1000000	        97.80 ns/op	       0 B/op	       0 allocs/op
