Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGenerator/Random-4         	    1000	        24.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        24.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        24.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        32.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	         7.546 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        29.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        12.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Random-4         	    1000	        24.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	         6.987 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        21.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        20.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        18.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        29.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        12.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Ascending-4      	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        20.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        27.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        21.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        26.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	         1.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Descending-4     	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerator/Sawtooth-4       	    1000	        21.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        75.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        66.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        64.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        64.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        91.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        63.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        65.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-4         	    1000	        66.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        56.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        55.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        59.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        57.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        34.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        36.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        56.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Ascending/Order-22-4      	    1000	        57.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        54.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        55.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        51.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        59.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        54.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        58.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        55.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Descending/Order-22-4     	    1000	        81.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        57.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        47.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        60.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        57.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        57.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        60.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Sawtooth/Order-22-4       	    1000	        58.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        42.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        42.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        42.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        44.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        43.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        42.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        43.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Random-4                    	    1000	        44.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        39.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        41.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        36.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        52.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        38.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        36.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        39.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Ascending-4                 	    1000	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        37.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        38.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        48.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        37.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        38.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        53.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        37.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Descending-4                	    1000	        38.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        37.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        40.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        38.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        58.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        70.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	       222.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        37.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Map/Sawtooth-4                  	    1000	        38.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       108.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	        91.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       108.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	       117.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Random-4                 	    1000	        82.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        80.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        79.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        86.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        79.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        88.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        81.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        80.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Ascending-4              	    1000	        55.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        58.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        85.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        80.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        81.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        83.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	       281.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	       269.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Descending-4             	    1000	        86.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	       129.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	       381.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        89.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        66.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        84.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        86.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        92.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/RBtree/Sawtooth-4               	    1000	        67.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        89.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        87.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        86.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        78.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        50.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	       102.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	        89.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Random/Order-22-4         	    1000	       178.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        51.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        51.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        54.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        53.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        51.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        53.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDel/Btree/Ascending/Order-22-4      	    1000	        52.82 ns/op	       0 B/op	       0 allocs/op
