Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkRandInt-8    	447940250	         2.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-2-8 	 2698627	       652.9 ns/op	      47 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-3-8 	 3138729	       559.2 ns/op	      43 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-4-8 	 3618967	       496.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-5-8 	 3946608	       470.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-6-8 	 4135486	       442.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-7-8 	 4341915	       443.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-8 	 4689122	       411.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-8 	 4795364	       405.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-8         	 4902567	       402.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-8         	 5009330	       391.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-8         	 5005957	       391.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-8         	 5101466	       379.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-8         	 5174262	       374.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-8         	 5209651	       375.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-8         	 5202655	       368.1 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-17-8         	 5277718	       363.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-18-8         	 5251220	       359.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-19-8         	 5360594	       362.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-20-8         	 5408667	       359.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-21-8         	 5473818	       360.9 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-22-8         	 5334663	       355.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-23-8         	 5368460	       356.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-24-8         	 5271630	       361.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-25-8         	 5324444	       358.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-26-8         	 5321624	       355.0 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-27-8         	 5294265	       359.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-28-8         	 5347046	       355.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-29-8         	 5267880	       353.7 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-30-8         	 5155401	       354.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-31-8         	 5172094	       353.8 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-32-8         	 5092792	       353.9 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-33-8         	 5091942	       354.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-34-8         	 5139501	       355.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-35-8         	 5114857	       353.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-36-8         	 5108894	       355.1 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-37-8         	 5149980	       356.5 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-38-8         	 4942824	       360.0 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-39-8         	 4939591	       359.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-40-8         	 4955607	       360.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-41-8         	 5006022	       360.5 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-42-8         	 4951232	       358.7 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-43-8         	 4964701	       362.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-44-8         	 4967095	       364.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-45-8         	 4826938	       360.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-46-8         	 4980115	       363.5 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-47-8         	 4974547	       365.1 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-48-8         	 4814220	       363.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-49-8         	 4814026	       363.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-50-8         	 4765080	       364.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-51-8         	 4816094	       363.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-52-8         	 4851123	       363.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-53-8         	 4845043	       363.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-54-8         	 4832871	       362.3 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-55-8         	 4864072	       364.0 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-56-8         	 4828488	       370.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-57-8         	 4798125	       370.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-58-8         	 4772638	       372.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-59-8         	 4790576	       380.0 ns/op	      38 B/op	       0 allocs/op
